settlement_date,settlement_period,nd,tsd,england_wales_demand,embedded_wind_generation,embedded_wind_capacity,embedded_solar_generation,embedded_solar_capacity,non_bm_stor,pump_storage_pumping,scottish_transfer,ifa_flow,ifa2_flow,britned_flow,moyle_flow,east_west_flow,nemo_flow,nsl_flow,eleclink_flow,viking_flow,greenlink_flow
2024-06-28,5,16577,22254,15979,3794,6562,0,17193,0,625,4428,-605,-6,-1014,-300,-110,-1021,-404,61,-1092,0
2024-03-25,26,32205,33579,29237,2437,6562,3192,17084,0,8,1214,1999,992,1004,-235,-531,999,1398,997,779,0
2024-07-04,40,25694,27180,24341,3610,6562,817,17193,0,7,3663,593,-2,1,-450,-527,366,1059,503,1281,0
2024-07-22,9,17968,19828,16264,1003,6563,0,17193,0,363,-210,2002,992,0,-331,-140,970,1398,995,-526,0
2024-03-22,32,25269,26887,23536,4129,6562,4230,17081,0,3,5199,2002,992,-1015,217,1,0,1090,997,301,0
2024-08-11,8,17541,18975,16135,522,6563,0,17193,0,10,912,1365,992,-220,-317,-387,723,1399,999,0,0
2024-11-20,29,36302,37960,33230,2532,6622,3520,17194,0,10,1318,738,840,2,-452,-531,333,1322,0,-65,0
2024-09-22,36,29724,32974,26997,1125,6622,381,17194,0,7,1159,999,-1,-749,-452,-528,999,1397,996,-1013,0
2024-05-26,29,19074,20610,16724,1579,6562,6857,17193,0,57,-474,1422,992,1003,-451,-528,803,1398,981,754,0
2024-03-11,43,34352,34977,31236,616,6562,0,17015,0,8,-101,1991,992,804,-17,125,730,1398,955,673,0
2024-02-17,16,25229,26300,23052,1136,6562,62,16887,0,17,3326,1728,-4,-450,172,0,612,1397,972,1169,0
2024-07-21,36,23320,24674,20956,1086,6563,3934,17193,0,17,581,2002,992,1,-451,-386,710,1398,996,632,0
2024-04-26,43,30560,32053,27770,583,6562,0,17143,0,10,-953,1006,901,87,-452,-531,530,1230,881,7,0
2024-09-25,38,32685,36013,30072,1608,6622,11,17194,0,4,1950,1001,-1,-944,-452,-342,0,1397,0,-1085,0
2024-05-24,23,26914,28406,23969,451,6562,4800,17193,0,12,-2095,1002,992,1002,-451,-529,944,1397,997,797,0
2024-08-06,4,19135,20893,17618,1515,6563,0,17193,0,439,-1,1271,833,0,-292,-527,195,1399,997,0,0
2024-06-05,32,20135,21861,18604,3381,6562,7054,17193,0,82,2523,898,783,103,-451,-527,-166,1397,998,638,0
2024-03-04,20,33948,34557,30854,1455,6562,5619,16998,0,9,1109,1005,992,1052,368,1,754,1397,996,771,0
2024-11-10,3,23760,25365,21783,519,6622,0,17194,0,303,1396,2003,489,745,-282,-420,603,1397,0,855,0
2024-09-19,41,30044,31538,27320,1363,6622,0,17194,0,14,-889,998,-2,130,-451,-527,998,1398,996,989,0
